date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:05	243564/243564	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/shortcodes_icons.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/shortcodes_icons.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:06	198619/198619	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/shortcodes_socialicons.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/shortcodes_socialicons.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:06	33965/33965	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:05%20GMT	https://html.modernwebtemplates.com/dotcreative/shortcodes_widgets_default.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/shortcodes_widgets_default.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:07	42134/42134	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/shortcodes_widgets_shop.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/shortcodes_widgets_shop.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:07	37044/37044	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:04%20GMT	https://html.modernwebtemplates.com/dotcreative/events-left.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/events-left.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:08	37030/37030	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/events-right.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/events-right.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:09	30577/30577	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:03%20GMT	https://html.modernwebtemplates.com/dotcreative/events-full.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/events-full.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:09	27201/27201	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/event-single-left.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/event-single-left.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:10	27184/27184	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/event-single-right.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/event-single-right.html	(from https://html.modernwebtemplates.com/dotcreative/)
18:39:10	26127/26127	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Jan%202021%2013:53:06%20GMT	https://html.modernwebtemplates.com/dotcreative/event-single-full.html	C:/Users/Yoga/Desktop/Sample%20site%20Gonext/html.modernwebtemplates.com/dotcreative/event-single-full.html	(from https://html.modernwebtemplates.com/dotcreative/)
